"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Wood, James","695578","2026","155","72",0.238,0.267,-0.029000000000000026,0.541,0.62,-0.07899999999999996,0.401,0.433,-0.03199999999999997
"Neto, Zach","687263","2026","150","82",0.233,0.217,0.016000000000000014,0.411,0.397,0.013999999999999957,0.337,0.321,0.016000000000000014
"Baldwin, Drake","686948","2026","146","102",0.308,0.299,0.009000000000000008,0.5,0.543,-0.04300000000000004,0.39,0.394,-0.0040000000000000036
"Hoerner, Nico","663538","2026","146","115",0.291,0.298,-0.007000000000000006,0.449,0.396,0.05299999999999999,0.365,0.344,0.02100000000000002
"Acuña Jr., Ronald","660670","2026","145","92",0.24,0.256,-0.016000000000000014,0.372,0.479,-0.10699999999999998,0.328,0.375,-0.046999999999999986
"Henderson, Gunnar","683002","2026","145","88",0.214,0.23,-0.016000000000000014,0.481,0.411,0.07,0.331,0.312,0.019000000000000017
"Trout, Mike","545361","2026","144","79",0.248,0.288,-0.03999999999999998,0.569,0.707,-0.138,0.431,0.482,-0.05099999999999999
"Ward, Taylor","621493","2026","144","95",0.304,0.295,0.009000000000000008,0.443,0.431,0.01200000000000001,0.399,0.387,0.01200000000000001
"Bregman, Alex","608324","2026","143","104",0.258,0.254,0.0040000000000000036,0.371,0.413,-0.04199999999999998,0.326,0.334,-0.008000000000000007
"Alvarez, Yordan","670541","2026","143","105",0.356,0.372,-0.016000000000000014,0.737,0.812,-0.07500000000000007,0.498,0.529,-0.031000000000000028
"Wetherholt, JJ","802139","2026","143","94",0.256,0.227,0.028999999999999998,0.479,0.454,0.024999999999999967,0.38,0.364,0.016000000000000014
"Herrera, Iván","671056","2026","143","88",0.248,0.269,-0.02100000000000002,0.422,0.453,-0.031000000000000028,0.378,0.392,-0.014000000000000012
"Olson, Matt","621566","2026","143","93",0.296,0.257,0.03899999999999998,0.616,0.579,0.03700000000000003,0.419,0.389,0.02999999999999997
"Raleigh, Cal","663728","2026","142","86",0.192,0.204,-0.011999999999999983,0.392,0.454,-0.062,0.296,0.327,-0.031000000000000028
"Reynolds, Bryan","668804","2026","142","77",0.246,0.229,0.016999999999999987,0.377,0.388,-0.01100000000000001,0.348,0.341,0.006999999999999951
"Marsee, Jakob","805300","2026","141","86",0.178,0.19,-0.01200000000000001,0.263,0.272,-0.009000000000000008,0.269,0.276,-0.007000000000000006
"Rodríguez, Julio","677594","2026","140","95",0.254,0.254,0,0.349,0.391,-0.04200000000000004,0.308,0.318,-0.010000000000000009
"Lile, Daylen","695734","2026","140","103",0.258,0.285,-0.02699999999999997,0.383,0.43,-0.046999999999999986,0.315,0.339,-0.02400000000000002
"Nimmo, Brandon","607043","2026","140","98",0.29,0.293,-0.0030000000000000027,0.46,0.481,-0.020999999999999963,0.364,0.37,-0.006000000000000005
"Witt Jr., Bobby","677951","2026","139","100",0.289,0.305,-0.016000000000000014,0.43,0.498,-0.068,0.35,0.384,-0.03400000000000003
"Schwarber, Kyle","656941","2026","139","71",0.225,0.231,-0.006000000000000005,0.595,0.542,0.052999999999999936,0.42,0.401,0.01899999999999996
"Ohtani, Shohei","660271","2026","139","79",0.273,0.274,-0.0010000000000000009,0.491,0.548,-0.05700000000000005,0.384,0.411,-0.02699999999999997
"Kurtz, Nick","701762","2026","139","61",0.236,0.252,-0.016000000000000014,0.425,0.527,-0.10200000000000004,0.377,0.409,-0.03199999999999997
"Adell, Jo","666176","2026","139","103",0.262,0.266,-0.0040000000000000036,0.369,0.413,-0.043999999999999984,0.302,0.315,-0.013000000000000012
"Turner, Trea","607208","2026","139","99",0.252,0.235,0.017000000000000015,0.386,0.343,0.04299999999999998,0.316,0.288,0.028000000000000025
